DrugBankID	DrugName
DB00246	ziprasidone
DB00247	methysergide
DB00248	cabergoline
DB00249	Idoxuridine
DB00250	dapsone
DB00251	terconazole
DB00252	Phenytoin
DB00253	medrysone
DB00254	doxycycline
DB00255	Diethylstilbestrol
DB00256	Chlortetracycline
DB00257	clotrimazole
DB00258	Phoslo
DB00259	Sulfanilamide
DB00260	Cycloserine
DB00261	anagrelide
DB00262	BCNU
DB00263	sulfisoxazole
DB00264	metoprolol
DB00265	crotamiton
DB00266	Dicumarol
DB00267	Cefmenoxime
DB00268	ropinirole
DB00269	Chlorotrianisene
DB00270	isradipine
DB00271	diatrizoate
DB00272	Betazole
DB00273	topiramate
DB00274	Cefmetazole
DB00275	olmesartan medoxomil
DB00276	amsacrine
DB00277	theophylline
DB00278	argatroban
DB00279	triiodothyronine
DB00280	disopyramide
DB00281	lidocaine
DB00282	pamidronate
DB00283	clemastine
DB00284	acarbose
DB00285	venlafaxine
DB00286	Premarin
DB00287	travoprost
DB00288	amcinonide
DB00289	atomoxetine
DB00290	bleomycin
DB00291	Chlorambucil
DB00292	etomidate
DB00293	raltitrexed
DB00294	Implanon
DB00295	morphine
DB00296	ropivacaine
DB00297	bupivacaine
DB00298	Dapiprazole
DB00299	penciclovir
DB00300	tenofovir
DB00301	flucloxacillin
DB00302	tranexamic acid
DB00303	ertapenem
DB00304	desogestrel
DB00305	mitomycin C
DB00306	Talbutal
DB00307	bexarotene
DB00308	ibutilide
DB00309	vindesine
DB00310	chlorthalidone
DB00311	Ethoxzolamide
DB00312	Pentobarbital
DB00313	Valproic Acid
DB00314	Capreomycin
DB00315	zolmitriptan
DB00316	Acetaminophen
DB00317	gefitinib
DB00318	codeine
DB00319	piperacillin
DB00320	dihydroergotamine
DB00321	amitriptyline
DB00322	Floxuridine
DB00323	tolcapone
DB00324	fluorometholone
DB00325	Nitroprusside
DB00326	Calcium Gluceptate
DB00327	hydromorphone
DB00328	indomethacin
DB00330	ethambutol
DB00331	Metformin
DB00332	ipratropium bromide
DB00333	methadone
DB00334	olanzapine
DB00335	atenolol
DB00336	Nitrofurazone
DB00337	pimecrolimus
DB00338	omeprazole
DB00339	Rifater
DB00340	Metixene
DB00341	cetirizine
DB00342	Terfenadine
DB00343	diltiazem
DB00344	protriptyline
DB00346	alfuzosin
DB00347	Trimethadione
DB00348	nitisinone
DB00349	clobazam
DB00350	minoxidil
DB00351	megestrol acetate
DB00352	thioguanine
DB00353	methylergometrine
DB00354	Buclizine
DB00355	Aztreonam
DB00356	chlorzoxazone
DB00357	Aminoglutethimide
DB00358	mefloquine
DB00359	sulfadiazine
DB00360	tetrahydrobiopterin
DB00361	vinorelbine
DB00362	anidulafungin
DB00363	clozapine
DB00364	sucralfate
DB00366	doxylamine
DB00367	levonorgestrel
DB00368	norepinephrine
DB00369	cidofovir
DB00370	mirtazapine
DB00371	meprobamate
DB00372	Torecan
DB00373	timolol
DB00374	treprostinil
DB00375	colestipol
DB00376	trihexyphenidyl
DB00377	palonosetron
DB00378	Dydrogesterone
DB00379	mexiletine
DB00380	dexrazoxane
DB00381	amlodipine
DB00382	tacrine
DB00383	Oxyphencyclimine
DB00384	triamterene
DB00385	Valrubicin
DB00387	procyclidine
DB00388	phenylephrine
DB00389	Carbimazole
DB00390	digoxin
DB00391	sulpiride
DB00392	Profenamine
DB00393	nimodipine
DB00394	beclomethasone
DB00395	carisoprodol
DB00396	progesterone
DB00397	Phenylpropanolamine
DB00398	sorafenib
DB00399	zoledronic acid
DB00400	Griseofulvin
DB00401	nisoldipine
DB00402	Eszopiclone
DB00404	alprazolam
DB00405	Dexbrompheniramine
DB00406	Gentian Violet
DB00407	Ardeparin
DB00408	loxapine
DB00409	Remoxipride
DB00410	mupirocin
DB00411	Carbachol
DB00412	rosiglitazone
DB00413	pramipexole
DB00414	Acetohexamide
DB00415	ampicillin
DB00417	penicillin V
DB00418	secobarbital
DB00419	miglustat
DB00420	promazine
DB00421	spironolactone
DB00422	methylphenidate
DB00423	methocarbamol
DB00424	Hyoscyamine
DB00425	zolpidem
DB00426	famciclovir
DB00427	triprolidine
DB00428	streptozotocin
DB00429	Carboprost
DB00431	Lindane
DB00432	trifluorothymidine
DB00433	prochlorperazine
DB00434	cyproheptadine
DB00435	nitric oxide
DB00436	bendrofluazide
DB00437	allopurinol
DB00438	Ceftazidime
DB00439	cerivastatin
DB00440	trimethoprim
DB00441	gemcitabine
DB00442	entecavir
DB00443	betamethasone dipropionate
DB00444	Teniposide
DB00445	Epirubicin
DB00446	chloramphenicol
DB00448	lansoprazole
DB00449	dipivefrin
DB00450	droperidol
DB00451	Levothyroxine
DB00452	Framycetin
DB00454	meperidine
DB00455	loratadine
DB00456	Cephalothin
DB00457	prazosin
DB00458	imipramine
DB00459	acitretin
DB00460	verteporfin
DB00461	nabumetone
DB00462	Methylscopolamine bromide
DB00463	Metharbital
DB00464	Sodium Tetradecyl Sulfate
DB00465	ketorolac
DB00466	Picrotoxin
DB00467	Enoxacin
DB00468	Quinine
DB00469	tenoxicam
DB00470	Dronabinol
DB00471	montelukast
DB00472	fluoxetine
DB00473	Hexylcaine
DB00474	Methohexital
DB00475	Chlordiazepoxide
DB00476	duloxetine
DB00477	Chlorpromazine
DB00478	rimantadine
DB00479	amikacin
DB00480	lenalidomide
DB00481	raloxifene
DB00482	celecoxib
DB00483	Gallamine Triethiodide
DB00484	brimonidine
DB00485	dicloxacillin
DB00486	nabilone
DB00487	Pefloxacin
DB00488	hexamethylmelamine
DB00489	Sotalol
DB00490	buspirone
DB00491	miglitol
DB00492	fosinopril
DB00493	cefotaxime
DB00494	entacapone
DB00495	zidovudine
DB00496	darifenacin
DB00497	oxycodone
DB00498	Phenindione
DB00499	flutamide
DB00500	tolmetin
DB00501	cimetidine
DB00502	haloperidol decanoate
DB00503	ritonavir
DB00504	Levallorphan
DB00505	Tridihexethyl
DB00506	Norgestrel
DB00507	nitazoxanide
DB00508	Triflupromazine
DB00509	Dextrothyroxine
DB00511	Acetyldigitoxin
DB00512	vancomycin
DB00513	Aminocaproic acid
DB00514	dextromethorphan
DB00515	Cisplatin
DB00517	Anisotropine Methylbromide
DB00518	albendazole
DB00519	trandolapril
DB00520	caspofungin
DB00521	carteolol
DB00523	retinoic acid
DB00524	metolazone
DB00525	Tolnaftate
DB00526	oxaliplatin
DB00527	Dibucaine
DB00528	Lercanidipine
DB00529	foscarnet
DB00530	erlotinib
DB00531	cyclophosphamide
DB00532	mephenytoin
DB00533	rofecoxib
DB00535	cefdinir
DB00536	Guanidine
DB00537	ciprofloxacin
DB00538	gadoversetamide
DB00539	toremifene
DB00540	nortriptyline
DB00541	vincristine
DB00542	benazepril
DB00543	Amoxapine
DB00544	Fluorouracil
DB00545	pyridostigmine
DB00546	Adinazolam
DB00547	desoximetasone
DB00548	azelaic acid
DB00549	zafirlukast
DB00550	propylthiouracil
DB00551	Acetohydroxamic Acid
DB00552	2'-deoxycoformycin
DB00553	Methoxsalen
DB00554	piroxicam
DB00555	lamotrigine
DB00557	hydroxyzine pamoate
DB00558	zanamivir
DB00559	bosentan
DB00560	tigecycline
DB00561	doxapram
DB00562	Benzthiazide
DB00563	methotrexate
DB00564	Carbamazepine
DB00566	Succimer
DB00567	cephalexin
DB00568	cinnarizine
DB00569	fondaparinux sodium
DB00570	vinblastine
DB00571	propranolol
DB00572	atropine
DB00573	Fenoprofen
DB00574	Fenfluramine
DB00575	clonidine
DB00576	Sulfamethizole
DB00577	valacyclovir
DB00578	Carbenicillin
DB00579	Mazindol
DB00580	valdecoxib
DB00581	Duphalac
DB00582	voriconazole
DB00583	carnitine
DB00584	Enalapril
DB00585	nizatidine
DB00586	diclofenac
DB00588	fluticasone propionate
DB00589	Lisuride
DB00590	doxazosin
DB00591	fluocinolone acetonide
DB00592	Piperazine
DB00593	ethosuximide
DB00594	amiloride
DB00595	Oxytetracycline
DB00596	Halobetasol
DB00597	gadoteridol
DB00598	labetalol
DB00599	Thiopental
DB00600	Monobenzone
DB00601	linezolid
DB00602	ivermectin
DB00603	medroxyprogesterone
DB00604	cisapride
DB00605	Sulindac
DB00606	Cyclothiazide
DB00607	Nafcillin
DB00608	Chloroquine
DB00609	ethionamide
DB00610	Metaraminol
DB00611	butorphanol
DB00612	bisoprolol
DB00613	Amodiaquine
DB00614	Furazolidone
DB00615	rifabutin
DB00616	Candoxatril
DB00617	Paramethadione
DB00618	demeclocycline
DB00619	imatinib
DB00620	triamcinolone
DB00621	oxandrolone
DB00622	nicardipine
DB00623	fluphenazine
DB00624	testosterone
DB00625	efavirenz
DB00626	bacitracin
DB00627	nicotinic acid
DB00628	Clorazepate Dipotassium
DB00629	Guanabenz
DB00630	alendronate
DB00631	clofarabine
DB00632	docosanol
DB00633	dexmedetomidine
DB00634	sulfacetamide
DB00635	prednisone
DB00636	Clofibrate
DB00637	Astemizole
DB00638	Inulin
DB00639	butoconazole
DB00640	adenosine
DB00641	simvastatin
DB00642	pemetrexed
DB00643	mebendazole
DB00644	Gonadotropin-Releasing Hormone
DB00645	Dyclonine
DB00646	nystatin
DB00647	propoxyphene
DB00648	Mitotane
DB00649	stavudine
DB00650	leucovorin
DB00651	dyphylline
DB00652	pentazocine
DB00653	Magnesium Sulfate
DB00654	latanoprost
DB00655	Estrone
DB00656	trazodone
DB00657	Mecamylamine
DB00658	sevelamer
DB00659	acamprosate
DB00660	metaxalone
DB00661	Verapamil
DB00662	trimethobenzamide
DB00663	Flumethasone
DB00665	nilutamide
DB00666	nafarelin acetate
DB00667	histamine
DB00668	Epinephrine
DB00669	sumatriptan
DB00670	pirenzepine
DB00671	cefixime
DB00672	chlorpropamide
DB00673	aprepitant
DB00674	galantamine
DB00675	Tamoxifen
DB00677	Isoflurophate
DB00678	lacidipine
DB00679	thioridazine
DB00680	moricizine
DB00681	amphotericin B
DB00682	warfarin
DB00683	midazolam
DB00684	Tobramycin
DB00685	trovafloxacin
DB00686	Pentosan Polysulfate
DB00687	fludrocortisone acetate
DB00688	mycophenolate mofetil
DB00689	Cephaloglycin
DB00690	flurazepam
DB00691	moexipril
DB00692	Phentolamine
DB00693	Fluorescein
DB00694	Daunorubicin
DB00695	furosemide
DB00696	Ergotamine
DB00697	tizanidine
DB00698	nitrofurantoin
DB00699	nicergoline
DB00700	eplerenone
DB00701	amprenavir
DB00703	Methazolamide
DB00704	naltrexone
DB00705	delavirdine
DB00706	tamsulosin
DB00707	porfimer sodium
DB00708	sufentanil
DB00709	lamivudine
DB00710	ibandronate
DB00711	Diethylcarbamazine
DB00712	flurbiprofen
DB00713	oxacillin
DB00714	apomorphine
DB00715	paroxetine
DB00716	Nedocromil
DB00717	norethisterone
DB00718	adefovir dipivoxil
DB00719	Azatadine
DB00720	clodronate
DB00721	procaine
DB00722	lisinopril
DB00723	Methoxamine
DB00724	imiquimod
DB00725	Homatropine Methylbromide
DB00726	trimipramine
DB00727	nitroglycerin
DB00728	rocuronium
DB00730	thiabendazole
DB00731	nateglinide
DB00732	atracurium
DB00733	pralidoxime
DB00734	risperidone
DB00735	naftifine
DB00736	Esomeprazole
DB00737	Meclizine
DB00738	pentamidine isethionate
DB00740	riluzole
DB00741	cortisol
DB00742	mannitol
DB00743	gadobenate dimeglumine
DB00744	zileuton
DB00745	modafinil
DB00746	desferrioxamine
DB00747	Buscopan
DB00748	carbinoxamine maleate
DB00749	etodolac
DB00750	Prilocaine
DB00751	epinastine
DB00752	tranylcypromine
DB00753	isoflurane
DB00754	ethotoin
DB00755	Tretinoin
DB00756	Hexachlorophene
DB00757	dolasetron
DB00758	clopidogrel
DB00759	tetracycline
DB00760	meropenem
DB00761	Potassium Chloride
DB00762	irinotecan
DB00763	Methimazole
DB00764	mometasone furoate
DB00765	Metyrosine
DB00766	clavulanic acid
DB00767	Benzquinamide
DB00768	olopatadine
DB00770	prostaglandin E1
DB00771	Clidinium
DB00772	Malathion
DB00773	etoposide
DB00774	hydroflumethiazide
DB00775	tirofiban
DB00776	oxcarbazepine
DB00777	propiomazine
DB00778	roxithromycin
DB00779	Nalidixic Acid
DB00780	phenelzine
DB00781	polymyxin B sulfate
DB00782	propantheline
DB00783	estradiol cypionate
DB00784	mefenamic acid
DB00785	Cryptenamine
DB00786	Marimastat
DB00787	Acyclovir
DB00788	naproxen
DB00790	perindopril erbumine
DB00791	Uracil Mustard
DB00792	Tripelennamine
DB00793	Haloprogin
DB00794	Primidone
DB00795	sulfasalazine
DB00796	candesartan cilexetil
DB00797	Tolazoline
DB00798	gentamicin
DB00799	tazarotene
DB00800	fenoldopam
DB00801	Halazepam
DB00802	Alfentanil
DB00803	colistin
DB00804	dicyclomine
DB00805	Minaprine
DB00806	pentoxifylline
DB00807	proparacaine
DB00808	indapamide
DB00809	tropicamide
DB00810	biperiden
DB00811	Ribavirin
DB00812	Phenylbutazone
DB00813	fentanyl
DB00814	meloxicam
DB00815	Sodium Dodecyl Sulfate
DB00816	Metaproterenol
DB00817	Rosoxacin
DB00818	propofol
DB00819	Acetazolamide
DB00820	tadalafil
DB00821	Carprofen
DB00822	Disulfiram
DB00823	Ethynodiol Diacetate
DB00824	Enprofylline
DB00825	Menthol
DB00826	natamycin
DB00827	Cinoxacin
DB00828	fosfomycin
DB00829	diazepam
DB00830	Phenmetrazine
DB00831	trifluoperazine
DB00832	Phensuximide
DB00833	cefaclor
DB00834	Mifepristone
DB00835	brompheniramine
DB00836	loperamide
DB00837	Progabide
DB00838	clocortolone
DB00839	tolazamide
DB00841	dobutamine
DB00842	oxazepam
DB00843	donepezil
DB00844	nalbuphine
DB00845	Clofazimine
DB00846	flurandrenolone
DB00847	Cysteamine
DB00848	Levamisole
DB00849	mephobarbital
DB00850	perphenazine
DB00851	dacarbazine
DB00852	Pseudoephedrine
DB00853	temozolomide
DB00854	Levorphanol
DB00855	delta-aminolevulinic acid
DB00856	Chlorphenesin
DB00857	terbinafine
DB00858	Drostanolone
DB00859	D-penicillamine
DB00860	prednisolone
DB00861	diflunisal
DB00862	vardenafil
DB00863	ranitidine
DB00864	tacrolimus
DB00865	Benzphetamine
DB00866	Alprenolol
DB00867	Ritodrine
DB00868	benzonatate
DB00869	dorzolamide
DB00870	Suprofen
DB00871	terbutaline
DB00872	conivaptan
DB00873	loteprednol etabonate
DB00874	Guaifenesin
DB00875	flupenthixol
DB00876	eprosartan
DB00877	rapamycin
DB00878	chlorhexidine gluconate
DB00879	emtricitabine
DB00880	chlorothiazide
DB00881	quinapril
DB00882	clomiphene citrate
DB00883	Isosorbide Dinitrate
DB00884	risedronate
DB00885	Pemirolast
DB00887	Bumetanide
DB00888	Mechlorethamine
DB00889	granisetron
DB00890	Dienestrol
DB00891	Sulfapyridine
DB00892	Oxybuprocaine
DB00893	Iron Dextran
DB00894	Testolactone
DB00895	Benzylpenicilloyl polylysine
DB00896	rimexolone
DB00897	triazolam
DB00898	ethanol
DB00899	remifentanil
DB00900	didanosine
DB00902	Methdilazine
DB00903	ethacrynic acid
DB00904	ondansetron
DB00905	bimatoprost
DB00906	tiagabine
DB00907	Cocaine
DB00908	quinidine
DB00909	zonisamide
DB00910	paricalcitol
DB00911	Tinidazole
DB00912	repaglinide
DB00913	Anileridine
DB00914	Phenformin
DB00915	amantadine
DB00916	metronidazole
DB00917	Dinoprostone
DB00918	almotriptan
DB00919	spectinomycin
DB00920	ketotifen
DB00921	buprenorphine
DB00922	Levosimendan
DB00924	cyclobenzaprine
DB00925	Phenoxybenzamine
DB00926	Etretinate
DB00927	famotidine
DB00928	Azacitidine
DB00929	Misoprostol
DB00930	colesevelam hydrochloride
DB00931	Methacycline
DB00932	tipranavir
DB00933	mesoridazine
DB00934	maprotiline
DB00935	oxymetazoline
DB00936	salicylic acid
DB00937	diethylpropion
DB00938	salmeterol
DB00939	Meclofenamic Acid
DB00940	Methantheline
DB00941	Hexafluronium
DB00942	Cycrimine
DB00943	zalcitabine
DB00944	Demecarium
DB00945	Aspirin
DB00946	phenprocoumon
DB00947	fulvestrant
DB00948	Mezlocillin
DB00949	felbamate
DB00950	fexofenadine
DB00951	Isoniazid
DB00952	naratriptan
DB00953	rizatriptan
DB00954	Dirithromycin
DB00955	Netilmicin
DB00956	hydrocodone
DB00957	Norgestimate
DB00958	carboplatin
DB00959	methylprednisolone
DB00960	pindolol
DB00961	mepivacaine
DB00962	zaleplon
DB00963	bromfenac
DB00964	apraclonidine
DB00966	telmisartan
DB00967	desloratadine
DB00968	methyldopa
DB00969	alosetron
DB00970	actinomycin D
DB00971	selenium sulfide
DB00972	azelastine
DB00973	ezetimibe
DB00974	Edetic Acid
DB00975	dipyridamole
DB00976	telithromycin
DB00977	Ethinyl Estradiol
DB00978	lomefloxacin
DB00979	cyclopentolate
DB00980	ramelteon
DB00981	Physostigmine
DB00982	Isotretinoin
DB00983	formoterol
DB00985	dimenhydrinate
DB00986	glycopyrrolate
DB00987	cytosine arabinoside
DB00988	dopamine
DB00989	rivastigmine
DB00990	exemestane
DB00991	oxaprozin
DB00992	Methyl aminolevulinate
DB00993	azathioprine
DB00994	neomycin
DB00995	auranofin
DB00996	gabapentin
DB00997	doxorubicin
DB00998	frovatriptan
DB00999	hydrochlorothiazide
DB01000	Cyclacillin
DB01001	salbutamol
DB01002	Levobupivacaine
DB01003	cromolyn
DB01004	ganciclovir
DB01005	Hydroxyurea
DB01006	letrozole
DB01007	tioconazole
DB01008	busulfan
DB01009	ketoprofen
DB01010	Edrophonium
DB01011	Metyrapone
DB01012	cinacalcet
DB01013	clobetasol
DB01014	balsalazide
DB01015	sulfamethoxazole
DB01016	glibenclamide
DB01017	minocycline
DB01018	guanfacine
DB01019	bethanechol
DB01020	Isosorbide Mononitrate
DB01021	trichlormethiazide
DB01022	vitamin K1
DB01023	felodipine
DB01024	mycophenolic acid
DB01025	Amlexanox
DB01026	ketoconazole
DB01028	Methoxyflurane
DB01029	irbesartan
DB01030	topotecan
DB01031	Ethinamate
DB01032	probenecid
DB01033	Mercaptopurine
DB01034	Cerulenin
DB01035	Procainamide
DB01036	tolterodine
DB01037	selegiline
DB01038	Carphenazine
DB01039	fenofibrate
DB01041	thalidomide
DB01042	melphalan
DB01043	memantine
DB01044	gatifloxacin
DB01045	rifampicin
DB01046	lubiprostone
DB01047	fluocinonide
DB01048	abacavir
DB01049	Ergoloid mesylate
DB01050	ibuprofen
DB01051	Novobiocin
DB01053	penicillin
DB01054	nitrendipine
DB01055	Mimosine
DB01056	Tocainide
DB01057	Echothiophate Iodide
DB01058	praziquantel
DB01059	norfloxacin
DB01060	amoxicillin
DB01061	Azlocillin
DB01062	oxybutynin
DB01063	Acetophenazine
DB01064	Isoproterenol
DB01065	melatonin
DB01066	cefditoren pivoxil
DB01067	glipizide
DB01068	clonazepam
DB01069	Promethazine
DB01070	Dihydrotachysterol
DB01071	mequitazine
DB01072	atazanavir
DB01073	fludarabine
DB01074	Perhexiline
DB01075	diphenhydramine
DB01076	atorvastatin
DB01077	EHDP
DB01078	Deslanoside
DB01079	tegaserod maleate
DB01080	vigabatrin
DB01081	Lomotil
DB01082	Streptomycin
DB01083	orlistat
DB01084	emedastine
DB01085	Pilocarpine
DB01086	Benzocaine
DB01087	Primaquine
DB01088	iloprost
DB01090	Pentolinium Tartrate
DB01091	butenafine
DB01092	Ouabain
DB01093	Dimethyl Sulfoxide
DB01094	Hesperetin
DB01095	fluvastatin
DB01096	Oxamniquine
DB01097	leflunomide
DB01098	rosuvastatin
DB01099	Flucytosine
DB01100	Pimozide
DB01101	capecitabine
DB01102	Arbutamine
DB01103	Quinacrine
DB01104	sertraline
DB01105	sibutramine
DB01106	levocabastine
DB01107	Methyprylon
DB01108	Trilostane
DB01109	heparin
DB01110	miconazole
DB01111	Colistimethate
DB01112	cefuroxime
DB01113	Papaverine
DB01114	chlorpheniramine
DB01115	Nifedipine
DB01116	Trimethaphan
DB01117	atovaquone
DB01118	Amiodarone
DB01119	diazoxide
DB01120	gliclazide
DB01121	Phenacemide
DB01122	Ambenonium
DB01124	tolbutamide
DB01126	dutasteride
DB01127	econazole
DB01128	bicalutamide
DB01129	rabeprazole
DB01130	prednicarbate
DB01131	Proguanil
DB01132	pioglitazone
DB01133	tiludronate
DB01135	Doxacurium
DB01136	carvedilol
DB01137	Levofloxacin
DB01138	Sulfinpyrazone
DB01139	Cephapirin
DB01140	cefadroxil
DB01141	micafungin
DB01142	doxepin
DB01143	amifostine
DB01144	Diclofenamide
DB01146	Diphenylpyraline
DB01147	cloxacillin
DB01148	flavoxate
DB01149	nefazodone
DB01150	cefprozil
DB01151	Desipramine
DB01152	Candicidin
DB01153	sertaconazole
DB01154	Thiamylal
DB01155	gemifloxacin
DB01156	Bupropion
DB01157	trimetrexate
DB01158	bretylium
DB01159	Halothane
DB01160	Dinoprost Tromethamine
DB01161	chloroprocaine
DB01162	terazosin
DB01163	Amdinocillin
DB01164	calcium chloride
DB01165	ofloxacin
DB01166	cilostazol
DB01167	itraconazole
DB01168	Procarbazine
DB01169	arsenic trioxide
DB01170	Guanethidine
DB01171	moclobemide
DB01172	kanamycin
DB01173	orphenadrine
DB01174	Phenobarbital
DB01175	Escitalopram
DB01176	Cyclizine
DB01177	idarubicin
DB01178	Chlormezanone
DB01179	Podophyllotoxin
DB01180	Rescinnamine
DB01181	ifosfamide
DB01182	propafenone
DB01183	naloxone
DB01184	domperidone
DB01185	fluoxymesterone
DB01186	pergolide
DB01188	ciclopirox
DB01189	desflurane
DB01190	clindamycin
DB01191	Dexfenfluramine
DB01192	oxymorphone
DB01193	acebutolol
DB01194	brinzolamide
DB01195	flecainide
DB01196	estramustine
DB01197	captopril
DB01198	zopiclone
DB01199	Tubocurarine
DB01200	Bromocriptine
DB01201	rifapentine
DB01202	levetiracetam
DB01203	nadolol
DB01204	mitoxantrone
DB01205	flumazenil
DB01206	CCNU
DB01207	Ridogrel
DB01208	Sparfloxacin
DB01209	Dezocine
DB01210	levobunolol
DB01211	clarithromycin
DB01212	Ceftriaxone
DB01213	4-methylpyrazole
DB01214	metipranolol
DB01215	estazolam
DB01216	finasteride
DB01217	anastrozole
DB01218	halofantrine
DB01219	dantrolene
DB01220	rifaximin
DB01221	ketamine
DB01222	Rhinocort
DB01223	aminophylline
DB01224	quetiapine
DB01225	low molecular weight heparin
DB01226	mivacurium
