Disease_UMLSID	MeSH Disease Terms 
C0003184	Anthropology
C0003431	Antisocial Personality Disorder
C0003462	Anus Diseases
C0003463	Anus Neoplasms
C0003467	Anxiety
C0003469	Anxiety Disorders
C0003477	Anxiety, Separation
C0003486	Aortic Aneurysm
C0003492	Aortic Coarctation
C0003493	Aortic Diseases
C0003496	Aortic Rupture
C0003499	Aortic Stenosis, Supravalvular
C0003504	Aortic Valve Insufficiency
C0003507	Aortic Valve Stenosis
C0003509	Aortitis
C0003537	Aphasia
C0003578	Apnea
C0003615	Appendicitis
C0003618	Appetite
C0003646	Aptitude
C0003808	Arousal
C0003811	Arrhythmia
C0003838	Arterial Occlusive Diseases
C0003850	Arteriosclerosis
C0003851	Arteriosclerosis Obliterans
C0003857	Arteriovenous Malformations
C0003860	Arteritis
C0003862	Arthralgia
C0003864	Arthritis
C0003868	Arthritis, Gouty
C0003872	Arthritis, Psoriatic
C0003873	Arthritis, Rheumatoid
C0003886	Arthrogryposis
C0003892	Arthropathy, Neurogenic
C0003910	Articulation Disorders
C0003949	Asbestosis
C0003950	Ascariasis
C0003962	Ascites
C0003969	Ascorbic Acid Deficiency
C0004030	Aspergillosis
C0004031	Aspergillosis, Allergic Bronchopulmonary
C0004044	Asphyxia
C0004045	Asphyxia Neonatorum
C0004084	Association Learning
C0004093	Asthenia
C0004096	Asthma
C0004099	Asthma, Exercise-Induced
C0004114	Astrocytoma
C0004134	Ataxia
C0004135	Ataxia Telangiectasia
C0004153	Atherosclerosis
C0004238	Atrial Fibrillation
C0004239	Atrial Flutter
C0004245	Atrioventricular Block
C0004268	Attention
C0004309	Auditory Perception
C0004310	Auditory Perceptual Disorders
C0004312	Auditory Threshold
C0004352	Autistic Disorder
C0004364	Autoimmune Diseases
C0004442	Avoidance Learning
C0004448	Awareness
C0004509	Azoospermia
C0004604	Back Pain
C0004610	Bacteremia
C0004623	Bacterial Infections
C0004626	Pneumonia, Bacterial
C0004659	Bacteriuria
C0004698	Balkan Nephropathy
C0004763	Barrett Esophagus
C0004771	Bartonella Infections
C0004779	Basal Cell Nevus Syndrome
C0004782	Basal Ganglia Diseases
C0004903	Beckwith-Wiedemann Syndrome
C0004933	Behavior Therapy
C0004936	Mental Disorders
C0004943	Behcet Syndrome
C0004945	Bejel
C0005129	Bernard-Soulier Syndrome
C0005138	Berylliosis
C0005283	beta-Thalassemia
C0005396	Bile Duct Neoplasms
C0005411	Biliary Atresia
C0005424	Biliary Tract Diseases
C0005426	Biliary Tract Neoplasms
C0005586	Bipolar Disorder
C0005587	Depression, Bipolar
C0005592	Bird Fancier's Lung
C0005612	Birth Weight
C0005684	Malignant neoplasm of urinary bladder
C0005695	Urinary Bladder Neoplasms
C0005697	Neurogenic Urinary Bladder
C0005699	Blast Crisis
C0005716	Blastomycosis
C0005743	Blepharoconjunctivitis
C0005747	Blepharospasm
C0005779	Blood Coagulation Disorders
C0005806	Blood Group Incompatibility
C0005818	Blood Platelet Disorders
C0005859	Bloom Syndrome
C0005874	Blushing
C0005891	Body Image
C0005940	Bone Diseases
C0005941	Bone Diseases, Developmental
C0005944	Bone Diseases, Metabolic
C0005956	Bone Marrow Diseases
C0005967	Bone Neoplasms
C0005974	Bone Resorption
C0006012	Borderline Personality Disorder
C0006057	Botulism
C0006060	Boutonneuse Fever
C0006079	Bowen's Disease
C0006105	Brain Abscess
C0006107	Brain Concussion
C0006109	Brain Damage, Chronic
C0006110	Brain Death
C0006111	Brain Diseases
C0006114	Cerebral Edema
C0006118	Brain Neoplasms
C0006145	Breast Diseases
C0006181	Brill-Zinsser Disease
C0006266	Bronchial Spasm
C0006267	Bronchiectasis
C0006271	Bronchiolitis
C0006272	Bronchiolitis Obliterans
C0006274	Bronchiolitis, Viral
C0006277	Bronchitis
C0006285	Bronchopneumonia
C0006287	Bronchopulmonary Dysplasia
C0006309	Brucellosis
C0006370	Bulimia
C0006384	Bundle-Branch Block
C0006413	Burkitt Lymphoma
C0006430	Burning Mouth Syndrome
C0006433	Burnout, Professional
C0006434	Burns
C0006444	Bursitis
C0006542	Byssinosis
C0006625	Cachexia
C0006629	Cadaver
C0006635	Cadmium Poisoning
C0006663	Calcinosis
C0006705	Calcium Metabolism Disorders
C0006736	Calculi
C0006818	Campylobacter Infections
C0006840	Candidiasis
C0006846	Candidiasis, Cutaneous
C0006848	Mucocutaneous candidiasis
C0006849	Candidiasis, Oral
C0007001	Carbohydrate Metabolism, Inborn Errors
C0007095	Carcinoid Tumor
C0007097	Carcinoma
C0007099	Carcinoma in Situ
C0007102	Malignant tumor of colon
C0007115	Malignant neoplasm of thyroid
C0007117	Carcinoma, Basal Cell
C0007120	Adenocarcinoma, Bronchiolo-Alveolar
C0007124	Carcinoma, Intraductal, Noninfiltrating
C0007130	Adenocarcinoma, Mucinous
C0007131	Carcinoma, Non-Small-Cell Lung
C0007133	Carcinoma, Papillary
C0007134	Carcinoma, Renal Cell
C0007137	Carcinoma, Squamous Cell
C0007138	Carcinoma, Transitional Cell
C0007166	Cardiac Output, Low
C0007192	Cardiomyopathy, Alcoholic
C0007193	Cardiomyopathy, Dilated
C0007194	Cardiomyopathy, Hypertrophic
C0007196	Cardiomyopathy, Restrictive
C0007222	Cardiovascular Diseases
C0007273	Carotid Artery Diseases
C0007274	Carotid Artery Thrombosis
C0007279	Carotid Body Tumor
C0007282	Carotid Stenosis
C0007286	Carpal Tunnel Syndrome
C0007384	Cataplexy
C0007397	Catastrophic Illness
C0007570	Celiac Disease
C0007621	Cell Transformation, Neoplastic
C0007622	Cell Transformation, Viral
C0007642	Cellulitis
C0007682	Central Nervous System Diseases
C0007758	Cerebellar Ataxia
C0007760	Cerebellar Diseases
C0007762	Cerebellar Neoplasms
C0007766	Intracranial Aneurysm
C0007771	Intracranial Arteriosclerosis
C0007772	Intracranial Arteriovenous Malformations
C0007774	Cerebral Arterial Diseases
C0007780	Cerebral Embolism
C0007781	Intracranial Embolism and Thrombosis
C0007784	Cerebral Hemorrhage
C0007785	Cerebral Infarction
C0007786	Brain Ischemia
C0007787	Ischemic Attack, Transient
C0007789	Cerebral Palsy
C0007795	Diffuse Cerebral Sclerosis of Schilder
C0007820	Cerebrovascular Disorders
C0007847	Malignant tumor of cervix
C0007859	Neck Pain
C0007867	Uterine Cervical Diseases
C0007868	Uterine Cervical Dysplasia
C0007871	Uterine Cervical Incompetence
C0007873	Uterine Cervical Neoplasms
C0007930	Chagas Cardiomyopathy
C0007947	Chancroids
C0007959	Charcot-Marie-Tooth Disease
C0007971	Cheilitis
C0008031	Chest Pain
C0008049	Chickenpox
C0008066	Child Behavior Disorders
C0008073	Developmental Disabilities
C0008074	Child Development Disorders, Pervasive
C0008087	Child Nutrition Disorders
C0008089	Child Psychology
C0008149	Chlamydia Infections
C0008300	Choice Behavior
C0008311	Cholangitis
C0008312	Primary biliary cirrhosis
C0008313	Cholangitis, Sclerosing
C0008325	Cholecystitis
C0008340	Choledochal Cyst
C0008350	Cholelithiasis
C0008354	Cholera
C0008370	Cholestasis
C0008372	Cholestasis, Intrahepatic
C0008412	Choline Deficiency
C0008479	Chondrosarcoma
C0008495	Chorioamnionitis
C0008497	Choriocarcinoma
C0008513	Chorioretinitis
C0008521	Choroid Diseases
C0008526	Choroiditis
C0008533	Hemophilia_B
C0008582	Chromoblastomycosis
C0008625	Chromosome Aberrations
C0008626	Chromosome Disorders
C0008628	Chromosome Deletion
C0008677	Bronchitis, Chronic
C0008679	Chronic Disease
C0008728	Churg-Strauss Syndrome
C0008733	Chylothorax
C0008767	Cicatrix
C0008780	Ciliary Motility Disorders
C0008924	Cleft Lip
C0008925	Cleft Palate
C0008928	Cleidocranial Dysplasia
C0009021	Clonorchiasis
C0009062	Clostridium Infections
C0009081	Clubfoot
C0009088	Cluster Headache
C0009181	Cocarcinogenesis
C0009186	Coccidioidomycosis
C0009207	Cockayne Syndrome
C0009240	Cognition
C0009241	Cognition Disorders
C0009244	Cognitive Therapy
C0009319	Colitis
C0009324	Colitis, Ulcerative
C0009353	Colles' Fracture
C0009363	Coloboma
C0009374	Colonic Diseases, Functional
C0009375	Colonic Neoplasms
C0009376	Colonic Polyps
C0009395	Color Perception
C0009398	Color Vision Defects
C0009404	Colorectal Neoplasms
C0009405	Colorectal Neoplasms, Hereditary Nonpolyposis
C0009426	Combat Disorders
C0009442	Common Bile Duct Neoplasms
C0009443	Common Cold
C0009447	Common Variable Immunodeficiency
C0009450	Communicable Diseases
C0009460	Communication Disorders
C0009475	Community Mental Health Services
C0009636	Concept Formation
C0009647	Conditioning (Psychology)
C0009649	Conditioning, Classical
C0009651	Conditioning, Operant
C0009663	Condylomata Acuminata
C0009669	Confidentiality
C0009676	Confusion
C0009759	Conjunctival Diseases
C0009761	Conjunctival Neoplasms
C0009763	Conjunctivitis
C0009766	Conjunctivitis, Allergic
C0009768	Bacterial conjunctivitis
C0009769	Conjunctivitis, Giant Papillary
C0009770	Inclusion conjunctivitis
C0009773	Conjunctivitis, Vernal
C0009782	Connective Tissue Diseases
C0009806	Constipation
C0009940	Convalescence
C0009952	Seizures, Febrile
C0010032	Corneal abrasion
C0010034	Corneal Diseases
C0010035	Corneal Dystrophies, Hereditary
C0010043	Corneal Ulcer
C0010051	Coronary Aneurysm
C0010068	Coronary Disease
C0010072	Coronary Thrombosis
C0010073	Coronary Vasospasm
C0010074	Coronary Vessel Anomalies
C0010200	Cough
C0010210	Counseling
C0010246	Coxsackievirus Infections
C0010273	Craniofacial Dysostosis
C0010278	Craniosynostoses
C0010297	Creativeness
C0010308	Congenital Hypothyroidism
C0010324	Crigler-Najjar Syndrome
C0010329	Criminal Psychology
C0010340	Critical Illness
C0010346	Crohn Disease
C0010356	Cross Infection
C0010403	Cryoglobulinemia
C0010414	Cryptococcosis
C0010417	Cryptorchidism
C0010418	Cryptosporidiosis
C0010439	Cues
C0010481	Cushing Syndrome
C0010543	Cyclitis
C0010598	Cyclothymic Disorder
C0010631	Cystadenocarcinoma
C0010674	Cystic Fibrosis
C0010691	Cystinuria
C0010692	Cystitis
C0010695	Cystocele
C0010709	Cysts
C0010823	Cytomegalovirus Infections
C0010930	Dacryocystitis
C0010996	Data Display
C0011057	Hearing Loss, Sudden
C0011065	Death
C0011071	Death, Sudden
C0011109	Decision Making
C0011156	Deficiency Diseases
C0011175	Dehydration
C0011206	Delirium
C0011226	Hepatitis D
C0011263	Dementia, Multi-Infarct
C0011269	Dementia, Vascular
C0011303	Demyelinating Diseases
C0011311	Dengue
C0011330	Dental Calculus
C0011334	Dental Caries
C0011361	Dental Fistula
C0011385	Dental Occlusion, Traumatic
C0011389	Dental Plaque
C0011581	Depressive Disorder
C0011606	Exfoliative dermatitis
C0011608	Dermatitis Herpetiformis
C0011609	Drug Eruptions
C0011615	Dermatitis, Atopic
C0011616	Dermatitis, Contact
C0011630	Dermatomycoses
C0011633	Dermatomyositis
C0011644	Scleroderma
C0011849	Diabetes Mellitus
C0011854	Diabetes Mellitus, Type 1
C0011859	Diabetes Mellitus, Lipoatrophic
C0011860	Diabetes Mellitus, Type 2
C0011875	Diabetic Angiopathies
C0011880	Diabetic Ketoacidosis
C0011881	Diabetic Nephropathies
C0011882	Diabetic Neuropathies
C0011884	Diabetic Retinopathy
C0011974	Diaper Rash
C0011991	Diarrhea
C0011992	Diarrhea, Infantile
C0012213	Differential Threshold
C0012236	DiGeorge Syndrome
C0012243	Digestive System Neoplasms
C0012359	Dilatation, Pathologic
C0012546	Diphtheria
C0012561	Diphyllobothriasis
C0012628	Discrete Subaortic Stenosis
C0012632	Discrimination (Psychology)
C0012633	Discrimination Learning
C0012655	Disease Susceptibility
C0012675	Diseases in Twins
C0012715	Iron Metabolism Disorders
C0012734	Disruptive Behavior Disorder
C0012739	Disseminated Intravascular Coagulation
C0012746	Dissociative Disorders
C0012860	DNA Damage
C0012922	DNA Virus Infections
C0013010	Dominance, Cerebral
C0013080	Down Syndrome
C0013142	Drowning
C0013182	Drug Hypersensitivity
C0013238	Dry Eye Syndromes
C0013264	Muscular Dystrophy, Duchenne
C0013274	Ductus Arteriosus, Patent
C0013289	Duodenal Diseases
C0013291	Duodenal Neoplasms
C0013295	Duodenal Ulcer
C0013312	Dupuytren's Contracture
C0013336	Dwarfism
C0013338	Dwarfism, Pituitary
C0013369	Dysentery
C0013371	Shigella Infections
C0013384	Dyskinesias
C0013386	Dyskinesia, Drug-Induced
C0013388	Dyslexia, Acquired
C0013390	Dysmenorrhea
C0013395	Dyspepsia
C0013403	Dysplastic Nevus Syndrome
C0013404	Dyspnea
C0013415	Dysthymic Disorder
C0013421	Dystonia
C0013423	Dystonia Musculorum Deformans
C0013428	Dysuria
C0013473	Eating Disorders
C0013481	Ebstein Anomaly
C0013502	Echinococcosis
C0013504	Echinococcosis, Hepatic
C0013537	Eclampsia
C0013575	Ectodermal Dysplasia
C0013595	Eczema
C0013604	Edema
C0013720	Ehlers-Danlos Syndrome
C0013806	Electroconvulsive Therapy
C0013870	Electroshock
C0013882	Elephantiasis
C0013884	Elephantiasis, Filarial
C0013902	Elliptocytosis, Hereditary
C0013922	Embolism
C0013956	Emergencies
C0013990	Emphysema
C0014013	Empyema, Pleural
C0014038	Encephalitis
C0014057	Encephalitis, Japanese
C0014059	Encephalomyelitis, Acute Disseminated
C0014070	Encephalomyelitis
C0014072	Encephalomyelitis, Autoimmune, Experimental
C0014116	Endocardial Cushion Defects
C0014118	Endocarditis
C0014121	Bacterial Endocarditis
C0014130	Endocrine System Diseases
C0014132	Endocrine Gland Neoplasms
C0014170	Endometrial Neoplasms
C0014173	Endometrial Hyperplasia
C0014175	Endometriosis
C0014179	Endometritis
C0014324	Entamoebiasis
C0014347	Enterobacteriaceae Infections
C0014356	Enterocolitis
C0014358	Enterocolitis, Pseudomembranous
C0014378	Enterovirus Infections
C0014457	Eosinophilia
C0014474	Ependymoma
C0014488	Epicondylitis
C0014511	Epidermal Cyst
C0014518	Epidermal Necrolysis, Toxic
C0014522	Epidermodysplasia Verruciformis
C0014527	Epidermolysis Bullosa
C0014544	Epilepsy
C0014547	Epilepsies, Partial
C0014548	Epilepsy, Generalized
C0014549	Epilepsy, Tonic-Clonic
C0014550	Epilepsies, Myoclonic
C0014553	Epilepsy, Absence
C0014556	Epilepsy, Temporal Lobe
C0014557	Epilepsy, Post-Traumatic
C0014591	Epistaxis
C0014733	Erysipelas
C0014740	Erythema Chronicum Migrans
C0014742	Erythema Multiforme
C0014743	Erythema Nodosum
C0014752	Erythrasma
C0014761	Erythroblastosis, Fetal
C0014836	Escherichia coli Infections
C0014848	Esophageal Achalasia
C0014850	Esophageal Atresia
C0014852	Esophageal Diseases
C0014859	Esophageal Neoplasms
C0014868	Esophagitis
C0014869	Esophagitis, Peptic
C0014877	Esotropia
C0015230	Exanthema
C0015300	Exophthalmos
C0015306	Exostoses, Multiple Hereditary
C0015347	Extinction, Psychological
C0015371	Extrapyramidal Disorders
C0015382	Extraversion (Psychology)
C0015397	Eye Diseases
C0015402	Eye Hemorrhage
C0015404	Eye Infections, Bacterial
C0015405	Eye Infections, Fungal
C0015407	Eye Infections, Viral
C0015414	Eye Neoplasms
C0015424	Eyelid Neoplasms
C0015461	Facial Neoplasms
C0015468	Facial Pain
C0015469	Facial Paralysis
C0015499	Factor V Deficiency
C0015503	Factor VII Deficiency
C0015523	Factor XI Deficiency
C0015530	Factor XIII Deficiency
C0015544	Failure to Thrive
C0015556	Fallopian Tube Diseases
C0015558	Fallopian Tube Neoplasms
C0015624	Fanconi Syndrome
C0015625	Fanconi Anemia
C0015634	Farmer's Lung
C0015672	Fatigue
C0015674	Fatigue Syndrome, Chronic
C0015695	Fatty Liver
C0015696	Fatty Liver, Alcoholic
C0015702	Favism
C0015773	Felty's Syndrome
C0015806	Femoral Neck Fractures
C0015814	Femur Head Necrosis
C0015923	Fetal Alcohol Syndrome
C0015927	Fetal Death
C0015929	Fetal Diseases
C0015934	Fetal Growth Retardation
C0015938	Fetal Macrosomia
C0015944	Fetal Membranes, Premature Rupture
C0015967	Fever
C0016034	Fibrocystic Breast Disease
C0016045	Fibroma
C0016052	Fibromuscular Dysplasia
C0016053	Fibromyalgia
C0016057	Fibrosarcoma
C0016059	Fibrosis
C0016063	Fibrous Dysplasia of Bone
C0016065	Fibrous Dysplasia, Polyostotic
C0016085	Filariasis
C0016154	Fish Diseases
C0016382	Flushing
C0016412	Folic Acid Deficiency
C0016436	Folliculitis
C0016470	Food Hypersensitivity
C0016509	Foot Dermatoses
C0016522	Foramen Ovale, Patent
C0016537	Forearm Injuries
C0016558	Forensic Psychiatry
C0016658	Fractures, Bone
C0016659	Fractures, Closed
C0016663	Fractures, Spontaneous
C0016664	Fractures, Stress
C0016665	Fractures, Ununited
C0016667	Fragile X Syndrome
C0016719	Friedreich Ataxia
C0016842	Funnel Chest
C0016867	Furunculosis
C0016952	Galactosemias
C0016977	Gallbladder Diseases
C0016978	Gallbladder Neoplasms
C0016989	Galvanic Skin Response
C0016995	Gambling
C0017097	Gardner Syndrome
C0017152	Gastritis
C0017154	Gastritis, Atrophic
C0017155	Gastritis, Hypertrophic
C0017160	Gastroenteritis
C0017168	Gastroesophageal Reflux
C0017178	Gastrointestinal Diseases
C0017181	Gastrointestinal Hemorrhage
C0017185	Gastrointestinal Neoplasms
C0017205	Gaucher Disease
C0017249	Gender Identity
C0017400	Genetics, Behavioral
C0017411	Genital Diseases, Female
C0017412	Genital Diseases, Male
C0017416	Genital Neoplasms, Female
C0017417	Genital Neoplasms, Male
C0017418	Primary genital syphilis
C0017467	Geriatric Psychiatry
C0017531	Angiolymphoid hyperplasia
C0017536	Giardiasis
C0017551	Gilbert Disease
C0017563	Gingival Diseases
C0017565	Gingival Hemorrhage
C0017566	Gingival Hyperplasia
C0017567	Gingival Hypertrophy
C0017570	Gingival Neoplasms
C0017572	Gingival Recession
C0017574	Gingivitis
C0017575	Necrotizing Ulcerative Gingivitis
C0017601	Glaucoma
C0017605	Glaucoma, Angle-Closure
C0017612	Glaucoma, Open-Angle
C0017636	Glioblastoma
C0017638	Glioma
C0017653	Glomus Tumor
C0017658	Glomerulonephritis
C0017661	Glomerulonephritis, IGA
C0017662	Glomerulonephritis, Membranoproliferative
C0017665	Glomerulonephritis, Membranous
C0017668	Glomerulosclerosis, Focal Segmental
C0017671	Glomus Jugulare Tumor
C0017677	Glossitis, Benign Migratory
C0017758	Glucosephosphate Dehydrogenase Deficiency
C0017920	Glycogen Storage Disease Type I
C0017921	Glycogen Storage Disease Type II
C0017924	Glycogen Storage Disease Type V
C0018021	Goiter
C0018022	Endemic goiter
C0018023	Goiter, Nodular
C0018051	Gonadal Dysgenesis
C0018054	Gonadal Dysgenesis, 46,XY
C0018081	Gonorrhea
C0018099	Gout
C0018128	Graft Occlusion, Vascular
C0018133	Graft vs Host Disease
C0018188	Granuloma
C0018190	Granuloma Inguinale
C0018197	Granuloma, Lethal Midline
C0018203	Granulomatous Disease, Chronic
C0018206	Granulosa Cell Tumor
C0018213	Graves Disease
C0018273	Growth Disorders
C0018378	Guillain-Barre Syndrome
C0018418	Gynecomastia
C0018467	Habituation, Psychophysiologic
C0018482	Haemophilus Infections
C0018524	Hallucinations
C0018552	Hamartoma
C0018553	Hamartoma Syndrome, Multiple
C0018566	Hand Deformities, Congenital
C0018609	Hartnup Disease
C0018621	Rhinitis, Allergic, Seasonal
C0018674	Craniocerebral Trauma
C0018681	Headache
C0018767	Hearing
C0018779	Hearing Loss, Functional
C0018780	Hearing Loss, High-Frequency
C0018781	Hearing Loss, Noise-Induced
C0018784	Hearing Loss, Sensorineural
C0018789	Heart Aneurysm
C0018790	Heart Arrest
C0018794	Heart Block
C0018798	Heart Defects, Congenital
C0018799	Heart Diseases
C0018800	Cardiomegaly
C0018802	Heart Failure, Congestive
C0018809	Heart Neoplasms
C0018816	Heart Septal Defects
C0018817	Heart Septal Defects, Atrial
C0018818	Heart Septal Defects, Ventricular
C0018824	Heart Valve Diseases
C0018834	Heartburn
C0018889	Helminthiasis
C0018916	Hemangioma
C0018923	Hemangiosarcoma
C0018939	Hematologic Diseases
C0018965	Hematuria
C0018979	Hemianopsia
C0018991	Hemiplegia
C0018995	Hemochromatosis
C0019021	Hemoglobin C Disease
C0019034	Hemoglobin SC Disease
C0019045	Hemoglobinopathies
C0019048	Hemoglobinuria
C0019050	Hemoglobinuria, Paroxysmal
C0019054	Hemolysis
C0019061	Hemolytic-Uremic Syndrome
C0019069	Hemophilia_A
C0019080	Hemorrhage
C0019087	Hemorrhagic Disorders
C0019088	Hemorrhagic Disease of Newborn
C0019099	Hemorrhagic Fever, Crimean
C0019100	Dengue Hemorrhagic Fever
C0019101	Hemorrhagic Fever with Renal Syndrome
C0019112	Hemorrhoids
C0019114	Hemosiderosis
C0019147	Hepatic Coma
C0019151	Hepatic Encephalopathy
C0019154	Hepatic Vein Thrombosis
C0019156	Hepatic Veno-Occlusive Disease
C0019158	Hepatitis
C0019159	Hepatitis A
C0019163	Hepatitis B
C0019187	Hepatitis, Alcoholic
C0019189	Hepatitis, Chronic
C0019193	Hepatitis, Toxic
C0019195	Hepatitis, Viral, Human
C0019196	Hepatitis C
C0019202	Hepatolenticular Degeneration
C0019204	Carcinoma, Hepatocellular
C0019209	Hepatomegaly
C0019212	Hepatorenal Syndrome
C0019243	Angioedemas, Hereditary
C0019284	Hernia, Diaphragmatic
C0019291	Hernia, Hiatal
C0019294	Hernia, Inguinal
C0019337	Heroin Dependence
C0019342	Herpes Genitalis
C0019345	Herpes Labialis
C0019348	Herpes Simplex
C0019357	Keratitis, Herpetic
C0019360	Herpes Zoster
C0019372	Herpesviridae Infections
C0019554	Hip Dislocation
C0019555	Hip Dislocation, Congenital
C0019557	Hip Fractures
C0019562	Hippel-Lindau Disease
C0019569	Hirschsprung Disease
C0019572	Hirsutism
C0019621	Histiocytosis, Langerhans-Cell
C0019655	Histoplasmosis
C0019693	HIV Infections
C0019699	HIV Seropositivity
C0019829	Hodgkin Disease
C0019880	Homocystinuria
C0020040	Hot Flashes
C0020091	Deltaretrovirus Infections
C0020097	HTLV-I Infections
C0020162	Humeral Fractures
C0020179	Huntington Disease
C0020217	Hydatidiform Mole
C0020255	Hydrocephalus
C0020295	Hydronephrosis
C0020302	Hydrophthalmos
C0020305	Hydrops Fetalis
C0020428	Hyperaldosteronism
C0020429	Hyperalgesia
C0020433	Hyperbilirubinemia
C0020435	Hyperbilirubinemia, Hereditary
C0020437	Hypercalcemia
C0020438	Hypercalciuria
C0020440	Hypercapnia
C0020443	Hypercholesterolemia
C0020445	Hyperlipoproteinemia Type II
C0020452	Hyperemia
C0020455	Hypergammaglobulinemia
C0020456	Hyperglycemia
C0020459	Hyperinsulinism
C0020461	Hyperkalemia
C0020473	Hyperlipidemias
C0020474	Hyperlipidemia, Familial Combined
C0020476	Hyperlipoproteinemias
C0020479	Hyperlipoproteinemia Type III
C0020480	Hyperlipoproteinemia Type IV
C0020501	Hyperoxaluria, Primary
C0020502	Hyperparathyroidism
C0020503	Hyperparathyroidism, Secondary
C0020505	Hyperphagia
C0020507	Hyperplasia
C0020514	Hyperprolactinemia
C0020517	Hypersensitivity
C0020522	Hypersensitivity, Delayed
C0020523	Hypersensitivity, Immediate
C0020524	Disorders of Excessive Somnolence
C0020534	Hypertelorism
C0020538	Hypertension
C0020540	Hypertension, Malignant
C0020541	Hypertension, Portal
C0020542	Hypertension, Pulmonary
C0020544	Hypertension, Renal
C0020545	Hypertension, Renovascular
C0020550	Hyperthyroidism
C0020557	Hypertriglyceridemia
C0020564	Hypertrophy
C0020587	Hypnosis
C0020594	Hypoactive Sexual Desire Disorder
C0020597	Hypobetalipoproteinemias
C0020598	Hypocalcemia
C0020615	Hypoglycemia
C0020619	Hypogonadism
C0020621	Hypokalemia
C0020623	Hypolipoproteinemias
C0020625	Hyponatremia
C0020626	Hypoparathyroidism
C0020627	Hypopharyngeal Neoplasms
C0020630	Hypophosphatasia
C0020635	Hypopituitarism
C0020649	Hypotension
C0020651	Hypotension, Orthostatic
C0020676	Hypothyroidism
C0020683	Hypovolemic Shock
C0020732	Iatrogenic Disease
C0020757	Ichthyosis
C0020875	Ileal Diseases
C0020876	Ileal Neoplasms
C0020877	Ileitis
C0020903	Illusions
C0020913	Imagination
C0020951	Immune Complex Diseases
